date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:59	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2018:54:19%20GMT	http://gracethemesdemo.com/robots.txt		(from )
21:42:00	86303/86303	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Oct%202023%2008:27:40%20GMT	http://gracethemesdemo.com/the-church/	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/index.html	(from )
21:42:03	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2030%20Jan%202024%2016:12:02%20GMT	http://gracethemesdemo.com/the-church/xmlrpc.php	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/xmlrpc.0.delayed	(from http://gracethemesdemo.com/the-church/)
21:42:04	1528/1528	---MC-	200	added ('OK')	text/xml	date:Tue,%2030%20Jan%202024%2016:12:03%20GMT	http://gracethemesdemo.com/the-church/comments/feed/	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/comments/feed/index.html	(from http://gracethemesdemo.com/the-church/)
21:42:06	10435/10435	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Jun%202023%2014:53:34%20GMT	http://gracethemesdemo.com/the-church/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=10.2.4	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-stylef192.css	(from http://gracethemesdemo.com/the-church/)
21:42:07	110035/110035	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Nov%202023%2019:44:12%20GMT	http://gracethemesdemo.com/the-church/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/wp-includes/css/dist/block-library/style.mine35d.css	(from http://gracethemesdemo.com/the-church/)
21:42:10	16589/16589	---MC-	200	added ('OK')	text/xml	date:Tue,%2030%20Jan%202024%2016:12:03%20GMT	http://gracethemesdemo.com/the-church/feed/	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/feed/index.html	(from http://gracethemesdemo.com/the-church/)
21:42:12	17572/17572	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Jun%202023%2014:53:33%20GMT	http://gracethemesdemo.com/the-church/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=7.8.1	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutd03b.css	(from http://gracethemesdemo.com/the-church/)
21:42:12	267106/267106	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Jun%202023%2014:53:34%20GMT	http://gracethemesdemo.com/the-church/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=10.2.4	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-stylef192.css	(from http://gracethemesdemo.com/the-church/)
21:42:15	74669/74669	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Jun%202023%2014:53:33%20GMT	http://gracethemesdemo.com/the-church/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=7.8.1	C:/My%20Web%20Sites/good-new-site/gracethemesdemo.com/the-church/wp-content/plugins/woocommerce/assets/css/woocommerced03b.css	(from http://gracethemesdemo.com/the-church/)
